Displacement (mm),Load (kN),Engineering Stress (GPa)
0.296272,1.62684,0.327997085
0.297466,1.62885,0.328402333
0.298318,1.63221,0.329079763
0.300022,1.63758,0.330162441
0.301386,1.63758,0.330162441
0.302579,1.63959,0.33056769
0.303943,1.64228,0.331110037
0.304625,1.6463,0.331920533
0.306159,1.64765,0.332192715
0.307011,1.64966,0.332597963
0.308717,1.65369,0.333410476
0.310251,1.6557,0.333815724
0.311785,1.65503,0.333680642
0.312807,1.65771,0.334220973
0.313489,1.66308,0.335303651
0.315023,1.66442,0.335573817
0.315876,1.66442,0.335573817
0.31724,1.66644,0.335981081
0.319114,1.67114,0.336928677
0.320308,1.67315,0.337333925
0.321842,1.67382,0.337469008
0.322694,1.67449,0.33760409
0.323718,1.67785,0.33828152
0.325081,1.68187,0.339092017
0.326445,1.68255,0.339229116
0.327297,1.68255,0.339229116
0.328831,1.68724,0.340174695
0.330195,1.68993,0.340717042
0.331899,1.6906,0.340852125
0.332923,1.69328,0.341392456
0.334457,1.69597,0.341934803
0.335479,1.69664,0.342069886
0.336843,1.69731,0.342204969
0.338378,1.7,0.342747316
0.3394,1.70536,0.343827978
0.341276,1.70671,0.34410016
0.342128,1.70738,0.344235243
0.34315,1.70872,0.344505408
0.344684,1.71275,0.345317921
0.345878,1.71476,0.345723169
0.347753,1.71476,0.345723169
0.348776,1.71543,0.345858252
0.35031,1.72013,0.346805848
0.351845,1.72147,0.347076013
0.352867,1.72416,0.34761836
0.354061,1.72617,0.348023609
0.355083,1.72953,0.348701039
0.356789,1.73087,0.348971204
0.358151,1.7302,0.348836122
0.359857,1.73154,0.349106287
0.361391,1.73624,0.350053883
0.361561,1.73758,0.350324048
0.363948,1.73892,0.350594214
0.36497,1.74093,0.350999462
0.366334,1.74496,0.351811975
0.368038,1.74697,0.352217223
0.369062,1.74697,0.352217223
0.370766,1.74832,0.352489405
0.37196,1.75167,0.353164818
0.373153,1.75167,0.353164818
0.374517,1.75369,0.353572083
0.375539,1.75637,0.354112414
0.377245,1.75906,0.354654761
0.378779,1.75906,0.354654761
0.380483,1.75973,0.354789844
